Linux 4.11.3-1-ARCH (jan-laptop) 	23.06.2017 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231172  1000     31702         0   93,79    3,93    0,00   97,72     1   1364,60      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  java
 1498231172  1000         0     31702    0,00    0,00    0,00    0,00     1     88,82      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31704   66,05    1,66    0,00   67,70     1    467,29      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31705    0,41    0,41    0,00    0,83     0      3,93      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31706    0,41    0,00    0,00    0,41     0      2,07      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31707    0,41    0,00    0,00    0,41     2      2,69      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31708    0,41    0,21    0,00    0,62     2      2,48      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31709    0,21    0,00    0,00    0,21     0     22,36      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31710    0,00    0,00    0,00    0,00     1      5,59      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31711    0,00    0,00    0,00    0,00     0      4,35      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31712    0,00    0,00    0,00    0,00     1      0,21      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31713   10,14    0,41    0,00   10,56     3    317,60      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31714    9,73    0,00    0,00    9,73     1    300,21      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31715    5,18    0,21    0,00    5,38     3    146,58      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31716    0,00    0,00    0,00    0,00     0      0,21      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java
 1498231172  1000         0     31717    0,00    0,00    0,00    0,00     2      0,21      0,00 4281796  184812   2,42     136      36      0,00      0,00      0,00       0  |__java

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231175  1000     31702         0  100,00    2,33    0,00  100,00     1   9841,67      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  java
 1498231175  1000         0     31702    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31704   92,33    1,33    0,00   93,67     1   4363,67      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31705    3,00    0,00    0,00    3,00     0     20,33      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31706    2,00    0,00    0,00    2,00     2      1,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31707    3,00    1,33    0,00    4,33     2   5392,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31708    2,67    0,00    0,00    2,67     0     24,67      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31709    0,00    0,00    0,00    0,00     0     40,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31710    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31711    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31712    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31713    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31714    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31715    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31716    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java
 1498231175  1000         0     31717    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  367208   4,81     136      36      0,00      0,00      0,00       0  |__java

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231178  1000     31702         0   94,00    4,33    0,00   98,33     1  20332,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  java
 1498231178  1000         0     31702    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31704   94,00    4,00    0,00   98,00     1  20308,67      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31705    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
